refresh_id,facility,month,scheduled_at,completed_at,status
R-Ca-2025-12,Canyon View,2025-12,2025-12-15 06:00,2025-12-15 06:31,Success
R-Wa-2025-01,Wasatch,2025-01,2025-01-15 06:00,2025-01-15 06:31,Success
R-Wa-2025-02,Wasatch,2025-02,2025-02-15 06:00,2025-02-15 06:54,Success
R-Wa-2025-03,Wasatch,2025-03,2025-03-15 06:00,2025-03-15 06:31,Success
R-Wa-2025-04,Wasatch,2025-04,2025-04-15 06:00,2025-04-15 06:75,Success
R-Wa-2025-05,Wasatch,2025-05,2025-05-15 06:00,2025-05-15 06:23,Success
R-Wa-2025-06,Wasatch,2025-06,2025-06-15 06:00,2025-06-15 06:23,Success
R-Wa-2025-07,Wasatch,2025-07,2025-07-15 06:00,2025-07-15 06:54,Success
R-Wa-2025-08,Wasatch,2025-08,2025-08-15 06:00,2025-08-15 06:75,Success
R-Wa-2025-09,Wasatch,2025-09,2025-09-15 06:00,2025-09-15 06:23,Success
R-Wa-2025-10,Wasatch,2025-10,2025-10-15 06:00,2025-10-15 06:23,Success
R-Wa-2025-11,Wasatch,2025-11,2025-11-15 06:00,2025-11-15 06:75,Success
R-Wa-2025-12,Wasatch,2025-12,2025-12-15 06:00,2025-12-15 06:31,Late
R-La-2025-01,Lakeview,2025-01,2025-01-15 06:00,2025-01-15 06:23,Success
R-La-2025-02,Lakeview,2025-02,2025-02-15 06:00,2025-02-15 06:54,Success
R-La-2025-03,Lakeview,2025-03,2025-03-15 06:00,2025-03-15 06:23,Success
R-La-2025-04,Lakeview,2025-04,2025-04-15 06:00,2025-04-15 06:18,Success
R-La-2025-05,Lakeview,2025-05,2025-05-15 06:00,2025-05-15 06:31,Success
R-La-2025-06,Lakeview,2025-06,2025-06-15 06:00,2025-06-15 06:31,Success
R-La-2025-07,Lakeview,2025-07,2025-07-15 06:00,2025-07-15 06:23,Success
R-La-2025-08,Lakeview,2025-08,2025-08-15 06:00,2025-08-15 06:18,Success
R-La-2025-09,Lakeview,2025-09,2025-09-15 06:00,2025-09-15 06:54,Success
R-La-2025-10,Lakeview,2025-10,2025-10-15 06:00,2025-10-15 06:75,Success
R-La-2025-11,Lakeview,2025-11,2025-11-15 06:00,2025-11-15 06:31,Success
R-La-2025-12,Lakeview,2025-12,2025-12-15 06:00,2025-12-15 06:54,Late
R-Re-2025-01,Red Rock,2025-01,2025-01-15 06:00,2025-01-15 06:31,Success
R-Re-2025-02,Red Rock,2025-02,2025-02-15 06:00,2025-02-15 06:75,Success
R-Re-2025-03,Red Rock,2025-03,2025-03-15 06:00,2025-03-15 06:18,Success
R-Re-2025-04,Red Rock,2025-04,2025-04-15 06:00,2025-04-15 06:23,Late
R-Re-2025-05,Red Rock,2025-05,2025-05-15 06:00,2025-05-15 06:18,Success
R-Re-2025-06,Red Rock,2025-06,2025-06-15 06:00,2025-06-15 06:31,Success
R-Re-2025-07,Red Rock,2025-07,2025-07-15 06:00,2025-07-15 06:31,Success
R-Re-2025-08,Red Rock,2025-08,2025-08-15 06:00,2025-08-15 06:23,Success
R-Re-2025-09,Red Rock,2025-09,2025-09-15 06:00,2025-09-15 06:54,Late
R-Re-2025-10,Red Rock,2025-10,2025-10-15 06:00,2025-10-15 06:31,Success
R-Re-2025-11,Red Rock,2025-11,2025-11-15 06:00,2025-11-15 06:31,Late
R-Re-2025-12,Red Rock,2025-12,2025-12-15 06:00,2025-12-15 06:75,Success
R-Me-2025-01,Mesa Ridge,2025-01,2025-01-15 06:00,2025-01-15 06:23,Success
R-Me-2025-02,Mesa Ridge,2025-02,2025-02-15 06:00,2025-02-15 06:75,Success
R-Me-2025-03,Mesa Ridge,2025-03,2025-03-15 06:00,2025-03-15 06:23,Success
R-Me-2025-04,Mesa Ridge,2025-04,2025-04-15 06:00,2025-04-15 06:18,Success
R-Me-2025-05,Mesa Ridge,2025-05,2025-05-15 06:00,2025-05-15 06:75,Success
R-Me-2025-06,Mesa Ridge,2025-06,2025-06-15 06:00,2025-06-15 06:54,Success
R-Me-2025-07,Mesa Ridge,2025-07,2025-07-15 06:00,2025-07-15 06:23,Success
R-Me-2025-08,Mesa Ridge,2025-08,2025-08-15 06:00,2025-08-15 06:54,Success
R-Me-2025-09,Mesa Ridge,2025-09,2025-09-15 06:00,2025-09-15 06:18,Failed
R-Me-2025-10,Mesa Ridge,2025-10,2025-10-15 06:00,2025-10-15 06:23,Success
R-Me-2025-11,Mesa Ridge,2025-11,2025-11-15 06:00,2025-11-15 06:31,Success
R-Me-2025-12,Mesa Ridge,2025-12,2025-12-15 06:00,2025-12-15 06:23,Late
